,model_name,ref_mode,det_mode,threshold,z_score,sum,false_positive,true_negative
15,llama2-7b-chat-4k,v2_g0.25_d10.0,old_hard_g0.5_d2.0,4,-6.6635081614377345,2405,0.0,1.0
21,llama2-7b-chat-4k,old_hard_g0.25_d5.0,v2_g0.25_d15.0,4,-7.463479471484357,2404,0.0,1.0
44,llama2-7b-chat-4k,v2_g0.25_d15.0,old_soft_g0.1_d10.0,4,-7.213217158682533,2404,0.0,1.0
32,llama2-7b-chat-4k,old_soft_g0.25_d15.0,v2_g0.25_d15.0,4,-7.463479471484357,2404,0.0,1.0
48,llama2-7b-chat-4k,v2_g0.25_d15.0,old_hard_g0.25_d5.0,4,-7.669625109793491,2405,0.0,1.0
49,llama2-7b-chat-4k,v2_g0.25_d15.0,old_soft_g0.25_d15.0,4,-7.65154763219758,2405,0.0,1.0
25,llama2-7b-chat-4k,old_hard_g0.5_d2.0,v2_g0.25_d10.0,4,-11.870748656703132,2405,0.0004158004158004158,0.9995841995841996
10,llama2-7b-chat-4k,old_soft_g0.1_d10.0,v2_g0.25_d15.0,4,-4.287452463004831,2404,0.00041597337770382697,0.9995840266222962
23,llama2-7b-chat-4k,old_hard_g0.5_d2.0,human_generation,4,0.33088434963749985,2207,0.00045310376076121433,0.9995468962392388
42,llama2-7b-chat-4k,old_soft_g0.25_d2.0,v2_g0.25_d10.0,4,-6.705193673994338,2405,0.0008316008316008316,0.9991683991683992
46,llama2-7b-chat-4k,v2_g0.25_d15.0,human_generation,4,-0.23270882777177646,2207,0.0009062075215224287,0.9990937924784775
12,llama2-7b-chat-4k,v2_g0.25_d10.0,human_generation,4,-0.23270882777177646,2207,0.0009062075215224287,0.9990937924784775
14,llama2-7b-chat-4k,v2_g0.25_d10.0,old_soft_g0.25_d2.0,4,-0.8251200153525307,2405,0.0012474012474012475,0.9987525987525988
3,llama2-7b-chat-4k,gpt_g0.25_d15.0,old_soft_g0.25_d2.0,4,-0.543301989537548,2405,0.0012474012474012475,0.9987525987525988
1,llama2-7b-chat-4k,gpt_g0.25_d15.0,no_g0.5_d5.0,4,-0.6340245087442812,2405,0.0016632016632016633,0.9983367983367983
0,llama2-7b-chat-4k,gpt_g0.25_d15.0,human_generation,4,-0.3805975390052432,2207,0.002718622564567286,0.9972813774354327
7,llama2-7b-chat-4k,old_soft_g0.1_d10.0,no_g0.5_d5.0,4,0.45221299056947356,2405,0.0029106029106029108,0.9970893970893971
47,llama2-7b-chat-4k,v2_g0.25_d15.0,no_g0.5_d5.0,4,-0.22892119473484374,2405,0.0037422037422037424,0.9962577962577963
24,llama2-7b-chat-4k,old_hard_g0.5_d2.0,no_g0.5_d5.0,4,0.3536054012433407,2405,0.0037422037422037424,0.9962577962577963
13,llama2-7b-chat-4k,v2_g0.25_d10.0,no_g0.5_d5.0,4,-0.22892119473484374,2405,0.0037422037422037424,0.9962577962577963
40,llama2-7b-chat-4k,old_soft_g0.25_d2.0,human_generation,4,0.2333070715064168,2207,0.004984141368373357,0.9950158586316267
18,llama2-7b-chat-4k,old_hard_g0.25_d5.0,human_generation,4,0.2333070715064168,2207,0.004984141368373357,0.9950158586316267
29,llama2-7b-chat-4k,old_soft_g0.25_d15.0,human_generation,4,0.2333070715064168,2207,0.004984141368373357,0.9950158586316267
41,llama2-7b-chat-4k,old_soft_g0.25_d2.0,no_g0.5_d5.0,4,0.5420354794315886,2405,0.00498960498960499,0.995010395010395
19,llama2-7b-chat-4k,old_hard_g0.25_d5.0,no_g0.5_d5.0,4,0.5420354794315886,2405,0.00498960498960499,0.995010395010395
30,llama2-7b-chat-4k,old_soft_g0.25_d15.0,no_g0.5_d5.0,4,0.5420354794315886,2405,0.00498960498960499,0.995010395010395
6,llama2-7b-chat-4k,old_soft_g0.1_d10.0,human_generation,4,0.05343875473286698,2207,0.005437245129134572,0.9945627548708654
34,llama2-7b-chat-4k,gpt_g0.1_d10.0,human_generation,4,0.7366066644724069,2207,0.031264159492523785,0.9687358405074762
4,llama2-7b-chat-4k,gpt_g0.25_d15.0,old_hard_g0.5_d2.0,4,0.05463431568722172,2405,0.03575883575883576,0.9642411642411642
35,llama2-7b-chat-4k,gpt_g0.1_d10.0,no_g0.5_d5.0,4,0.9471730476857364,2405,0.04074844074844075,0.9592515592515592
2,llama2-7b-chat-4k,gpt_g0.25_d15.0,v2_g0.25_d10.0,4,-0.06696747239194802,2405,0.046153846153846156,0.9538461538461539
26,llama2-7b-chat-4k,old_hard_g0.5_d2.0,old_soft_g0.25_d2.0,4,1.445572348989221,2405,0.050311850311850315,0.9496881496881497
11,llama2-7b-chat-4k,v2_g0.25_d10.0,gpt_g0.25_d15.0,4,-1.1245626891750056,2399,0.09045435598165902,0.9095456440183409
5,llama2-7b-chat-4k,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4,-0.7880334819428886,2405,0.11226611226611227,0.8877338877338877
33,llama2-7b-chat-4k,gpt_g0.1_d10.0,old_soft_g0.1_d10.0,4,0.8979850288696469,2404,0.12479201331114809,0.8752079866888519
39,llama2-7b-chat-4k,old_soft_g0.25_d2.0,gpt_g0.25_d15.0,4,0.29610614206217983,2399,0.13088786994581075,0.8691121300541892
28,llama2-7b-chat-4k,old_soft_g0.25_d15.0,gpt_g0.1_d10.0,4,-1.1192278453069517,2405,0.14511434511434512,0.8548856548856549
