,model_name,mission_name,ref_mode,det_mode,threshold,z_score,sum
0,llama2-7b-chat-4k,multi_news,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,-2.051203966140747,200
1,llama2-7b-chat-4k,alpacafarm,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,-1.5452206134796143,805
2,llama2-7b-chat-4k,lcc,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,-0.6087027192115784,200
3,llama2-7b-chat-4k,longform_qa,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,-1.8844828605651855,200
4,llama2-7b-chat-4k,konwledge_memorization,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,0.1705087423324585,200
5,llama2-7b-chat-4k,konwledge_understanding,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,1.412412405014038,200
6,llama2-7b-chat-4k,hotpotqa,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,0.5420637726783752,200
7,llama2-7b-chat-4k,finance_qa,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,-0.48591330647468567,200
8,llama2-7b-chat-4k,qmsum,old_soft_g0.1_d10.0,gpt_g0.1_d10.0,4.0,-0.35127171874046326,200
9,llama2-7b-chat-4k,multi_news,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,22.59906768798828,200
10,llama2-7b-chat-4k,alpacafarm,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,17.33094596862793,805
11,llama2-7b-chat-4k,lcc,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,7.1391682624816895,200
12,llama2-7b-chat-4k,longform_qa,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,17.36290740966797,200
13,llama2-7b-chat-4k,konwledge_memorization,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,6.407154560089111,200
14,llama2-7b-chat-4k,konwledge_understanding,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,5.7756476402282715,200
15,llama2-7b-chat-4k,hotpotqa,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,4.867304801940918,200
16,llama2-7b-chat-4k,finance_qa,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,17.08969497680664,200
17,llama2-7b-chat-4k,qmsum,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4.0,17.97913932800293,200
18,llama2-7b-chat-4k,multi_news,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,21.354354858398438,200
19,llama2-7b-chat-4k,alpacafarm,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,17.008800506591797,805
20,llama2-7b-chat-4k,lcc,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,7.2897443771362305,200
21,llama2-7b-chat-4k,longform_qa,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,18.890281677246094,200
22,llama2-7b-chat-4k,konwledge_memorization,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,6.385951995849609,200
23,llama2-7b-chat-4k,konwledge_understanding,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,5.531198501586914,200
24,llama2-7b-chat-4k,hotpotqa,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,4.696649551391602,200
25,llama2-7b-chat-4k,finance_qa,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4.0,17.066354751586914,200
