,model_name,mode,gamma,delta,threshold,bl_type,z_score,true_positive,false_negative,sum
5,tulu-7b,no,0.1,10.0,4,None,0.12663042723902979,0.025826914363389217,0.9741730856366108,2207
16,tulu-7b,old,0.25,2.0,4,soft,4.216058417588005,0.4595078299776286,0.5404921700223714,2235
9,tulu-7b,gpt,0.25,5.0,4,None,7.831998392513224,0.5422575155984118,0.4577424844015882,1763
11,tulu-7b,gpt,0.25,15.0,4,None,9.468343265970665,0.5993464052287582,0.40065359477124185,1530
3,tulu-7b,old,0.5,5.0,4,hard,6.718462420188962,0.6186025812194037,0.38139741878059635,2247
14,tulu-7b,old,0.5,10.0,4,soft,6.657127282485082,0.6213936972924989,0.3786063027075011,2253
8,tulu-7b,gpt,0.25,10.0,4,None,9.700527656929305,0.6257822277847309,0.3742177722152691,1598
7,tulu-7b,old,0.5,5.0,4,soft,6.103883557658657,0.6259293680297398,0.37407063197026025,2152
15,tulu-7b,v2,0.1,5.0,4,None,17.558167175636488,0.694059848146494,0.30594015185350604,2239
2,tulu-7b,old,0.25,10.0,4,soft,15.598581033654453,0.7925577416595381,0.20744225834046193,2338
12,tulu-7b,v2,0.25,10.0,4,None,15.68321578876645,0.8177361853832442,0.18226381461675578,2244
17,tulu-7b,v2,0.1,10.0,4,None,26.8729134610258,0.8398791540785498,0.16012084592145015,2317
0,tulu-7b,v2,0.25,15.0,4,None,15.79211407065871,0.8417523468931605,0.15824765310683953,2237
13,tulu-7b,old,0.25,15.0,4,soft,15.89283544186773,0.8540517607127704,0.14594823928722953,2357
4,tulu-7b,old,0.25,5.0,4,hard,16.29896610161326,0.8566581849024597,0.1433418150975403,2358
1,tulu-7b,old,0.1,10.0,4,soft,28.83321502780464,0.9124839124839125,0.08751608751608751,2331
6,tulu-7b,gpt,0.1,10.0,4,None,43.00114569440588,0.9398859148749451,0.060114085125054846,2279
10,tulu-7b,old,0.1,5.0,4,hard,30.19322866244464,0.9796005099872503,0.020399490012749683,2353
