,model_name,mission_name,mode,gamma,delta,threshold,bl_type,z_score,sum
255,llama2-7b-chat-4k,lcc,no,0.5,5.0,6.0,None,-0.9156150221824646,200
238,llama2-7b-chat-4k,hotpotqa,old,0.9,5.0,6.0,soft,-0.7170567512512207,200
242,llama2-7b-chat-4k,konwledge_understanding,old,0.9,5.0,6.0,soft,-0.5346989631652832,200
218,llama2-7b-chat-4k,konwledge_understanding,v2,0.5,2.0,6.0,None,-0.507294774055481,200
161,llama2-7b-chat-4k,konwledge_understanding,old,0.9,5.0,6.0,hard,-0.4879368841648102,200
256,llama2-7b-chat-4k,multi_news,no,0.5,5.0,6.0,None,-0.3906736373901367,200
157,llama2-7b-chat-4k,hotpotqa,old,0.9,5.0,6.0,hard,-0.19665248692035675,200
128,llama2-7b-chat-4k,konwledge_understanding,gpt,0.5,2.0,6.0,None,-0.1201460369390526,200
262,llama2-7b-chat-4k,hotpotqa,no,0.5,5.0,6.0,None,-0.04343903437256813,200
129,llama2-7b-chat-4k,konwledge_memorization,gpt,0.5,2.0,6.0,None,-0.018326702538959447,200
258,llama2-7b-chat-4k,konwledge_memorization,no,0.5,5.0,6.0,None,-0.003587758634239435,200
307,llama2-7b-chat-4k,hotpotqa,old,0.75,5.0,6.0,soft,0.007636214606463909,200
39,llama2-7b-chat-4k,konwledge_understanding,v2,0.25,2.0,6.0,None,0.025636494159698486,200
268,llama2-7b-chat-4k,konwledge_understanding,gpt,0.75,5.0,6.0,None,0.02996747995802658,200
271,llama2-7b-chat-4k,hotpotqa,gpt,0.75,5.0,6.0,None,0.03242409592509079,200
241,llama2-7b-chat-4k,konwledge_memorization,old,0.9,5.0,6.0,soft,0.09719521552324295,200
65,llama2-7b-chat-4k,konwledge_understanding,gpt,0.5,5.0,6.0,None,0.10668497544164068,200
134,llama2-7b-chat-4k,hotpotqa,gpt,0.5,2.0,6.0,None,0.11021540581139615,200
43,llama2-7b-chat-4k,hotpotqa,v2,0.25,2.0,6.0,None,0.18359145522117615,200
254,llama2-7b-chat-4k,konwledge_understanding,new,0.5,5.0,6.0,None,0.19500423967838287,200
224,llama2-7b-chat-4k,hotpotqa,v2,0.5,2.0,6.0,None,0.2080368548631668,200
116,llama2-7b-chat-4k,konwledge_understanding,v2,0.9,5.0,6.0,None,0.25138387084007263,200
112,llama2-7b-chat-4k,hotpotqa,v2,0.9,5.0,6.0,None,0.2763476073741913,200
173,llama2-7b-chat-4k,konwledge_understanding,v2,0.5,5.0,6.0,None,0.27998948097229004,200
211,llama2-7b-chat-4k,konwledge_understanding,v2,0.75,5.0,6.0,None,0.3033667802810669,200
125,llama2-7b-chat-4k,hotpotqa,old,0.5,2.0,6.0,soft,0.3061448931694031,200
259,llama2-7b-chat-4k,qmsum,no,0.5,5.0,6.0,None,0.3156101703643799,200
260,llama2-7b-chat-4k,alpacafarm,no,0.5,5.0,6.0,None,0.3208049237728119,805
263,llama2-7b-chat-4k,finance_qa,no,0.5,5.0,6.0,None,0.3328993618488312,200
67,llama2-7b-chat-4k,hotpotqa,gpt,0.5,5.0,6.0,None,0.3635274823421464,200
131,llama2-7b-chat-4k,lcc,gpt,0.5,2.0,6.0,None,0.41537757535401126,200
142,llama2-7b-chat-4k,konwledge_memorization,gpt,0.9,5.0,6.0,None,0.43529847367362523,200
139,llama2-7b-chat-4k,hotpotqa,gpt,0.9,5.0,6.0,None,0.5183532456630772,200
143,llama2-7b-chat-4k,konwledge_understanding,gpt,0.9,5.0,6.0,None,0.5299616833233375,200
304,llama2-7b-chat-4k,konwledge_understanding,old,0.75,5.0,6.0,soft,0.5388081073760986,200
214,llama2-7b-chat-4k,hotpotqa,v2,0.75,5.0,6.0,None,0.5852609276771545,200
31,llama2-7b-chat-4k,konwledge_understanding,old,0.75,5.0,6.0,hard,0.5922293663024902,200
